0,Secounds,Amps,Volt
0,2518,15.4,11.7
0,2519,15.4,11.7
0,2520,15.4,11.7
0,2521,15.4,11.7
0,2522,15.4,11.7
0,2523,15.4,11.7
0,2524,15.4,11.7
0,2525,15.4,11.7
0,2526,15.4,11.7
0,2527,15.4,11.7
0,2528,15.4,11.7
0,2529,15.4,11.7
0,2530,15.4,11.7
0,2531,15.4,11.7
0,2532,15.4,11.7
0,2533,15.4,11.7
0,2534,15.4,11.7
0,2535,15.4,11.7
0,2536,15.4,11.7
0,2537,15.4,11.7
0,2538,15.4,11.7
0,2539,15.4,11.7
0,2540,15.4,11.7
0,2541,15.4,11.7
0,2542,15.4,11.7
0,2543,15.4,11.7
0,2544,15.4,11.7
0,2545,15.4,11.7
0,2546,15.4,11.7
0,2547,15.4,11.7
0,2548,15.4,11.7
0,2549,15.4,11.7
0,2550,15.4,11.7
0,2551,15.4,11.7
0,2551,15.4,11.7
0,2552,15.4,11.7
0,2553,15.4,11.7
0,2554,15.4,11.7
0,2555,15.39,11.7
0,2556,15.39,11.7
0,2557,15.39,11.7
0,2558,15.39,11.7
0,2559,15.39,11.7
0,2560,15.39,11.7
0,2561,15.39,11.7
0,2562,15.39,11.7
0,2563,15.39,11.7
0,2564,15.39,11.7
0,2565,15.39,11.7
0,2566,15.39,11.7
0,2567,15.39,11.7
0,2568,15.39,11.7
0,2569,15.39,11.7
0,2570,15.39,11.7
0,2571,15.39,11.7
0,2572,15.39,11.7
0,2573,15.39,11.7
0,2574,15.39,11.7
0,2575,15.39,11.7
0,2576,15.39,11.7
0,2577,15.39,11.7
0,2578,15.39,11.7
0,2579,15.39,11.7
0,2580,15.39,11.7
0,2581,15.39,11.7
0,2582,15.39,11.7
0,2583,15.39,11.7
0,2584,15.39,11.7
0,2585,15.39,11.7
0,2586,15.39,11.7
0,2587,15.39,11.7
0,2588,15.39,11.7
0,2589,15.39,11.7
0,2590,15.39,11.7
0,2591,15.39,11.7
0,2592,15.39,11.7
0,2593,15.39,11.7
0,2594,15.39,11.7
0,2595,15.39,11.7
0,2596,15.39,11.7
0,2597,15.39,11.7
0,2598,15.39,11.7
0,2599,15.39,11.7
0,2600,15.39,11.7
0,2601,15.39,11.7
0,2602,15.39,11.7
0,2603,15.39,11.7
0,2604,15.39,11.7
0,2605,15.39,11.7
0,2606,15.39,11.7
0,2607,15.39,11.7
0,2608,15.39,11.7
0,2609,15.39,11.7
0,2610,15.39,11.7
0,2611,15.39,11.7
0,2612,15.39,11.7
0,2613,15.39,11.7
0,2614,15.39,11.7
0,2615,15.39,11.7
0,2616,15.39,11.6
0,2617,15.39,11.7
0,2618,15.39,11.7
0,2619,15.39,11.7
0,2620,15.39,11.7
0,2621,15.39,11.7
0,2622,15.39,11.7
0,2623,15.39,11.6
0,2624,15.39,11.6
0,2625,15.39,11.6
0,2626,15.39,11.7
0,2627,15.39,11.6
0,2628,15.39,11.7
0,2628,15.39,11.6
0,2629,15.39,11.6
0,2630,15.39,11.6
0,2631,15.39,11.6
0,2632,15.39,11.6
0,2633,15.39,11.6
0,2634,15.39,11.6
0,2635,15.39,11.6
0,2636,15.39,11.6
0,2637,15.39,11.6
0,2638,15.39,11.6
0,2639,15.39,11.6
0,2640,15.39,11.6
0,2641,15.39,11.6
0,2642,15.39,11.6
0,2643,15.38,11.6
0,2644,15.38,11.6
0,2645,15.38,11.6
0,2646,15.38,11.6
0,2647,15.39,11.6
0,2648,15.38,11.6
0,2649,15.38,11.6
0,2650,15.38,11.6
0,2651,15.39,11.6
0,2652,15.38,11.6
0,2653,15.38,11.6
0,2654,15.38,11.6
0,2655,15.38,11.6
0,2656,15.38,11.6
0,2657,15.38,11.6
0,2658,15.38,11.6
0,2659,15.38,11.6
0,2660,15.38,11.6
0,2661,15.38,11.6
0,2662,15.38,11.6
0,2663,15.38,11.6
0,2664,15.38,11.6
0,2665,15.38,11.6
0,2666,15.38,11.6
0,2667,15.38,11.6
0,2668,15.38,11.6
0,2669,15.38,11.6
0,2670,15.38,11.6
0,2671,15.38,11.6
0,2672,15.38,11.6
0,2673,15.38,11.6
0,2674,15.38,11.6
0,2675,15.38,11.6
0,2676,15.38,11.6
0,2677,15.38,11.6
